atomics-t1-b0,atomics-t1-b100,atomics-t20-b100,atomics-t2-b100,atomics-t3-b100,atomics-t4-b100,atomics-t50-b100,maraIntegration-t1-b0,maraIntegration-t1-b1000,maraIntegration-t1-b100,maraIntegration-t20-b1000,maraIntegration-t20-b100,maraIntegration-t2-b1000,maraIntegration-t2-b100,maraIntegration-t3-b1000,maraIntegration-t3-b100,maraIntegration-t4-b1000,maraIntegration-t4-b100,maraIntegration-t50-b1000,maraIntegration-t50-b100,maraPThread-t1-b0,maraPThread-t1-b1000,maraPThread-t1-b100,maraPThread-t20-b1000,maraPThread-t20-b100,maraPThread-t2-b1000,maraPThread-t2-b100,maraPThread-t3-b1000,maraPThread-t3-b100,maraPThread-t4-b1000,maraPThread-t4-b100,maraPThread-t50-b1000,maraPThread-t50-b100,master-t1-b0,master-t1-b100,master-t20-b100,master-t2-b100,master-t3-b100,master-t4-b100,master-t50-b100,atomics-t4-b0,master-t4-b0
#313,218,72,173,104,83,878,179,197,197,14,14,92,92,66,66,52,52,15,15,184,243,243,17,17,129,129,94,94,73,73,13,13,212,90,71,71,71,71,70,1,1
#239,211,76,131,142,88,854,224,197,200,15,17,108,109,71,68,55,58,13,22,222,267,254,16,22,130,142,90,99,55,86,13,16,209,70,85,73,90,70,84,1,1
#353,211,82,160,107,102,882,194,200,197,15,15,100,108,72,71,55,55,13,13,209,272,267,16,16,137,130,94,90,72,55,14,13,210,82,85,73,90,72,72,1,1

#213,301,76,154,117,91,871,199,198,402,14,31,100,209,69,141,54,110,13,35,205,260,517,16,39,132,271,92,186,66,145,13,29,210,80,80,72,83,71,75,1,1



#213,245,71,136,114,109,812,175,154,154,12,12,87,87,57,57,45,45,9,9,164,128,128,11,11,81,81,53,53,42,42,7,7,208,68,69,68,70,69,68,1,1
#213,246,75,137,124,102,849,173,143,163,13,15,99,105,63,63,50,52,9,19,166,129,153,11,18,105,98,64,75,51,53,7,12,209,68,69,69,68,69,69,1,1
#211,290,69,136,121,119,816,173,160,143,12,13,95,99,61,63,49,50,9,9,166,129,129,12,11,82,105,62,64,51,51,7,7,214,68,69,71,68,70,73,1,1
#211,245,73,137,121,107,889,173,154,163,12,16,88,109,57,78,48,57,9,21,165,129,153,12,18,81,99,53,79,43,56,7,12,210,68,69,68,68,68,69,1,1
#213,247,72,159,92,102,856,170,135,160,12,12,84,95,65,61,50,49,9,9,165,128,129,12,12,104,82,57,62,46,51,7,7,209,69,68,68,68,68,68,1,1

#212,254,72,141,114,107,844,172,149,312,12,27,90,202,60,134,48,104,9,29,165,128,280,11,29,90,191,57,133,46,103,7,19,210,68,68,68,68,68,69,1,1




#207,242,54,160,114,94,552,170,130,130,11,11,91,91,61,61,45,45,7,7,161,159,159,11,11,86,86,59,59,46,46,7,7,206,67,69,68,67,71,67,285,195
#205,232,50,161,114,92,515,175,129,154,12,14,87,88,60,60,48,47,8,16,164,120,143,12,17,86,93,59,68,47,53,6,11,209,67,67,67,65,66,67,306,187
#206,229,52,168,114,90,473,174,167,129,11,12,88,87,59,60,45,48,7,8,162,121,120,11,12,87,86,58,59,45,47,6,6,210,66,66,67,67,66,67,319,192
#206,233,51,164,117,94,510,164,124,154,12,14,90,87,60,58,47,47,8,16,165,120,144,11,16,86,98,61,67,45,52,7,12,209,67,66,68,68,65,66,294,195
#206,246,53,162,115,94,581,174,162,167,11,11,87,88,59,59,46,45,8,7,163,153,121,11,11,87,87,59,58,45,45,7,6,206,67,66,66,69,66,66,323,193
#210,245,52,164,109,94,588,174,136,155,11,13,88,90,59,57,49,48,7,16,162,121,144,12,17,85,100,59,70,44,55,6,11,203,66,67,65,67,68,67,298,187
#188,238,55,160,114,95,525,174,135,124,12,12,87,90,61,60,49,47,7,8,165,159,120,11,11,87,86,55,61,45,45,6,7,210,67,67,67,66,67,68,358,206
#205,235,52,162,107,93,537,175,135,139,11,14,90,90,57,59,45,47,8,16,165,121,140,11,16,86,95,60,66,46,50,7,11,209,67,66,67,66,66,67,324,190
#206,239,52,160,114,96,496,175,136,162,11,11,92,87,59,59,48,46,7,8,161,121,153,11,11,83,87,57,59,45,45,6,7,209,67,69,69,67,67,69,326,194
#210,235,51,166,115,88,511,171,136,154,11,13,94,89,58,61,46,50,8,16,167,120,146,12,16,89,96,59,67,46,53,6,11,209,67,67,72,66,65,66,331,195

204,237,52,162,113,93,528,172,139,292,11,24,89,178,59,119,46,95,7,23,163,131,276,11,27,86,182,58,125,45,98,6,17,208,66,67,67,66,66,67,316,193
